,Name,Span,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Econ,SR,4 Wkts,5 Wkts
68,RE van der Merwe (NL/SA),2009-2019,26,25,88.0,0,592,31,2/3,19.09,6.72,17.0,0,0
69,CH Morris (SA),2012-2019,21,21,76.0,2,643,31,4/27,20.74,8.46,14.7,1,0
70,AU Rashid (ENG),2009-2018,33,31,109.0,1,818,31,3/11,26.38,7.50,21.0,0,0
71,Mahmudullah (BDESH),2007-2018,76,51,114.5,2,832,31,3/18,26.83,7.24,22.2,0,0
72,RA Jadeja (INDIA),2009-2017,40,40,135.1,3,983,31,3/48,31.70,7.27,26.1,0,0
73,KOK Williams (WI),2016-2018,18,18,63.1,2,526,30,4/28,17.53,8.32,12.6,1,0
74,WB Rankin (ENG/IRE),2009-2019,31,30,105.0,1,680,30,3/16,22.66,6.47,21.0,0,0
75,NM Coulter-Nile (AUS),2013-2018,26,25,90.0,1,743,30,4/31,24.76,8.25,18.0,1,0
76,MJ McClenaghan (ICC/NZ),2012-2018,29,29,101.2,2,789,30,3/17,26.30,7.78,20.2,0,0
77,R Rampaul (WI),2007-2015,23,23,82.5,1,705,29,3/16,24.31,8.51,17.1,0,0
78,Amir Hamza (AFG),2013-2017,31,31,106.0,2,716,29,3/39,24.68,6.75,21.9,0,0
79,CR Brathwaite (WI),2011-2018,35,34,104.0,1,888,29,3/20,30.62,8.53,21.5,0,0
80,DP Nannes (AUS/NL),2009-2010,17,16,61.0,2,459,28,4/18,16.39,7.52,13.0,1,0
81,RM Haq (SCOT),2007-2013,21,20,75.0,1,472,28,3/20,16.85,6.29,16.0,0,0
82,Yuvraj Singh (INDIA),2007-2017,58,31,70.4,0,499,28,3/17,17.82,7.06,15.1,0,0
83,Aizaz Khan (HKG),2014-2017,23,23,77.2,2,530,28,3/10,18.92,6.85,16.5,0,0
84,SW Tait (AUS),2007-2016,21,21,79.4,2,589,28,3/13,21.03,7.39,17.0,0,0
85,IK Pathan (INDIA),2006-2012,24,23,77.0,1,618,28,3/16,22.07,8.02,16.5,0,0
86,T van der Gugten (NL),2012-2019,28,27,86.5,0,636,28,3/18,22.71,7.32,18.6,0,0
87,Shoaib Malik (ICC/PAK),2006-2019,111,46,90.0,0,644,28,2/7,23.00,7.15,19.2,0,0
88,Samiullah Shinwari (AFG),2010-2018,60,37,103.4,0,660,28,5/13,23.57,6.36,22.2,1,1
89,DJ Willey (ENG),2015-2018,24,24,81.5,0,691,28,3/20,24.67,8.44,17.5,0,0
90,B Lee (AUS),2005-2012,25,25,90.5,0,714,28,3/23,25.50,7.86,19.4,0,0
91,Wahab Riaz (PAK),2008-2017,27,27,90.3,2,723,28,3/18,25.82,7.98,19.3,0,0
92,Rubel Hossain (BDESH),2009-2018,27,26,94.3,0,879,28,3/31,31.39,9.30,20.2,0,0
93,HS Baidwan (CAN),2008-2013,17,17,53.5,1,411,27,4/19,15.22,7.63,11.9,1,0
94,ST Finn (ENG),2011-2015,21,21,80.0,0,583,27,3/16,21.59,7.28,17.7,0,0
95,MC Sorensen (IRE),2012-2016,26,22,65.0,2,471,26,3/17,18.11,7.24,15.0,0,0
96,KJ Abbott (SA),2013-2016,21,21,72.4,0,579,26,3/20,22.26,7.96,16.7,0,0
97,GJ Maxwell (AUS),2012-2018,57,40,94.0,0,704,26,3/10,27.07,7.48,21.6,0,0
98,P Utseya (ZIM),2006-2015,35,35,124.5,2,858,26,3/25,33.00,6.87,28.8,0,0
99,JA Morkel (SA),2005-2015,50,46,107.5,2,864,26,3/12,33.23,8.01,24.8,0,0
100,B Stanlake (AUS),2017-2018,17,17,62.0,2,502,25,4/8,20.08,8.09,14.8,1,0
101,AF Milne (NZ),2010-2018,21,21,72.5,1,541,25,4/37,21.64,7.42,17.4,1,0
102,SE Bond (NZ),2005-2010,20,20,77.3,2,543,25,3/18,21.72,7.00,18.6,0,0
103,Nadeem Ahmed (HKG),2014-2017,24,24,82.3,3,546,25,4/21,21.84,6.61,19.8,1,0
104,SMSM Senanayake (SL),2012-2016,24,23,81.0,0,549,25,4/46,21.96,6.77,19.4,1,0
105,Harbhajan Singh (INDIA),2006-2016,28,27,102.0,5,633,25,4/12,25.32,6.20,24.4,1,0
106,AD Russell (WI),2011-2018,47,40,99.1,0,908,25,2/10,36.32,9.15,23.8,0,0
